ZPID,Street,Unit,City,State,Zipcode,Type,Price,HOA Fee,Zestimate,Rent Zestimate,Days On Zillow,Bedrooms,Bathrooms,Living Area,Year Built,lotSize
15545598,3420 Beresford Ave,,Belmont,CA,94002,SINGLE_FAMILY,1798000,,1839098,4750,,4,2,2040,1964,5000
15516932,160 Occidental Ave,,Burlingame,CA,94010,SINGLE_FAMILY,3415000,0,3460833,9000,,4,3,3014,1926,5356
15518982,208 Peninsula Ave,,Burlingame,CA,94010,SINGLE_FAMILY,1880000,,1980280,5300,,3,3,1600,1910,4874
15517977,455 Chatham Rd,,Burlingame,CA,94010,SINGLE_FAMILY,2650455,,2783308,6564,,3,3,2260,1937,5301
15522392,108 Gramercy Dr,,San Mateo,CA,94402,SINGLE_FAMILY,12500,,4091462,10900,,4,3.5,3199,1958,12763
15630622,2283 Armada Way,,San Mateo,CA,94404,SINGLE_FAMILY,1130000,585,1141170,3700,,2,3,1200,1979,74383
15532227,694 Port Dr,,San Mateo,CA,94404,SINGLE_FAMILY,1550000,248,1551938,4600,,3,3,1800,1966,2548
2081990438,255 Brentwood Rd,,Hillsborough,CA,94010,SINGLE_FAMILY,6435000,,,20296,,4,6,5175,2019,25700
2078350837,1631 Marina Ct UNIT C,C,San Mateo,CA,94403,CONDO,760000,44,774539,,,2,1,1054,1961,
15543743,5 Deer Lake Ct,,San Mateo,CA,94402,SINGLE_FAMILY,2425000,,2523376,5950,,5,3,2650,1995,10018
15531562,2008 Texas Way,,San Mateo,CA,94403,MULTI_FAMILY,3950,,1464582,4200,,3,2,1280,1954,4999
19526437,457 Tyndall St APT 2,2,Los Altos,CA,94022,CONDO,1251000,155,1399894,3445,0,2,2,1212,1974,553
15601214,241 Durazno Way,,Portola Valley,CA,94028,SINGLE_FAMILY,2850000,72,3305042,9034,2,5,4,2680,1956,22999
15594575,1120 May Brown Ave,,Menlo Park,CA,94025,SINGLE_FAMILY,3000000,,3133027,7488,9,3,3,2000,1948,10018
15599568,15 Homer Ln,,Menlo Park,CA,94025,SINGLE_FAMILY,5500,,2701078,4995,44,3,3.5,1600,1926,10890
153149806,935 Scott St,,Palo Alto,CA,94301,SINGLE_FAMILY,14000000,0,14945000,13448,3,5,6,5535,2011,10001
15579265,3700 Fair Oaks Ave,,Menlo Park,CA,94025,SINGLE_FAMILY,1199995,0,1408955,3500,4,3,1,1240,1929,3977
15580699,46 Lilac Dr,,Atherton,CA,94027,SINGLE_FAMILY,6500000,0,6496538,16118,5,3,2,2680,1954,41800
15583514,208 Willow Rd,,Menlo Park,CA,94025,SINGLE_FAMILY,1660000,0,1664386,4400,14,3,1,1150,1947,5005
19466861,1170 University Ave,,Palo Alto,CA,94301,SINGLE_FAMILY,8700,375,3439476,10068,5,2,1,900,1939,25264
19534086,1355 Holly Ave,,Los Altos,CA,94024,SINGLE_FAMILY,2940000,0,5295049,4000,6,5,5,3650,2020,13512
19469806,1820 Bret Harte St,,Palo Alto,CA,94303,SINGLE_FAMILY,14000,,,15500,126,5,5,4567,2016,7148
2086294143,1313 Hoover St,,Menlo Park,CA,94025,SINGLE_FAMILY,5000,,,5000,46,2,2.5,1655,1973,
19505684,820 Chimalus Dr,,Palo Alto,CA,94306,SINGLE_FAMILY,2250001,0,2790575,3600,8,3,2,1472,1954,5649
19628527,961 Lundy Ln,,Los Altos,CA,94024,SINGLE_FAMILY,2960000,0,7095073,3150,10,6,4,6108,2020,15977
240240634,631 Harvard Ave,,Menlo Park,CA,94025,SINGLE_FAMILY,2800000,0,2850019,3100,11,3,4,2650,2016,9448
15584104,2001 Menalto Ave,,Menlo Park,CA,94025,SINGLE_FAMILY,2105000,0,4111887,5001,11,4,3,2843,2020,9609
19499077,705 Charleston Ct,,Palo Alto,CA,94303,SINGLE_FAMILY,2660000,0,4498450,6475,12,4,4,3130,1964,8015
82963531,3733 Egret Ln,,Palo Alto,CA,94303,SINGLE_FAMILY,5250,,1679356,4100,72,3,3,1218,2007,1218
19534062,1433 Miramonte Ave,,Los Altos,CA,94024,SINGLE_FAMILY,2200000,0,5575023,4464,16,4,5,3307,2021,14736
15600097,2142 Sand Hill Rd,,Menlo Park,CA,94025,SINGLE_FAMILY,1750000,788,1821436,4650,246,3,2.5,1740,1971,1441
19532032,1061 Parma Way,,Los Altos,CA,94024,SINGLE_FAMILY,7395000,0,7423218,15166,17,6,7,8409,2007,22215
19532896,556 Hans Ave,,Mountain View,CA,94040,SINGLE_FAMILY,1800000,,1924046,3200,124,2,1,893,1953,6581
19530219,948 Loraine Ave,,Los Altos,CA,94024,SINGLE_FAMILY,1780000,,1945381,3500,34,3,2,1364,1932,4800
19511375,804 Burgoyne St,,Mountain View,CA,94043,SINGLE_FAMILY,1800000,,1893812,4000,101,3,1,877,1950,6120
153114666,2072 Channing Ave,,Palo Alto,CA,94303,SINGLE_FAMILY,8750,,,7500,152,3,2.5,2442,2015,3765
19525366,200 Alicia Way,,Los Altos,CA,94022,SINGLE_FAMILY,5800,,,6968,240,4,2.5,1885,1960,12420
19495825,633 Forest Ave,,Palo Alto,CA,94301,SINGLE_FAMILY,4850,450,1303700,3800,35,2,2,1200,1974,30012
15582938,307 Haight St,,Menlo Park,CA,94025,SINGLE_FAMILY,4800,,1832624,2950,51,2,1,900,1946,6499
19525163,659 Spargur Dr,,Los Altos,CA,94022,SINGLE_FAMILY,3250000,0,6495061,7048,21,6,7,4099,2021,13407
19530204,944 Aura Way,,Los Altos,CA,94024,SINGLE_FAMILY,2875000,0,2906513,7073,23,3,2,1518,1999,12776
